Linear Model:
E=0.00362396 Y=4.99671 U=4.12692
E=0.00329256 Y=4.99701 U=4.12726
E=0.0029912 Y=4.99728 U=4.12757
E=0.00271797 Y=4.99753 U=4.12785
E=0.00246859 Y=4.99776 U=4.1281
E=0.00224304 Y=4.99796 U=4.12834
E=0.00203753 Y=4.99815 U=4.12855
E=0.00185108 Y=4.99832 U=4.12874
E=0.00168228 Y=4.99847 U=4.12891
E=0.00152779 Y=4.99861 U=4.12907
E=0.00138855 Y=4.99874 U=4.12921
E=0.00126076 Y=4.99885 U=4.12934
E=0.00114584 Y=4.99896 U=4.12946
E=0.00104094 Y=4.99905 U=4.12957
E=0.000945568 Y=4.99914 U=4.12966
E=0.000859261 Y=4.99922 U=4.12975
E=0.000780106 Y=4.99929 U=4.12983
E=0.000709534 Y=4.99936 U=4.12991
E=0.000644207 Y=4.99941 U=4.12997
E=0.000585556 Y=4.99947 U=4.13003
E=0.00053215 Y=4.99952 U=4.13009
E=0.000483513 Y=4.99956 U=4.13014
E=0.000439167 Y=4.9996 U=4.13018
E=0.000398636 Y=4.99964 U=4.13022
E=0.000362396 Y=4.99967 U=4.13026
E=0.000329018 Y=4.9997 U=4.13029
E=0.000298977 Y=4.99973 U=4.13032
Nonlinear Model:
E=3 Y=3.0134 U=1.2
E=1.9866 Y=2.93128 U=0.19464
E=2.06872 Y=2.75865 U=0.730169
E=2.24135 Y=3.37478 U=0.981457
E=1.62522 Y=3.45146 U=0.907347
E=1.54854 Y=3.68373 U=1.22404
E=1.31627 Y=3.88565 U=1.30899
E=1.11435 Y=4.00974 U=1.42953
E=0.990265 Y=4.13425 U=1.55191
E=0.865747 Y=4.21605 U=1.63835
E=0.783953 Y=4.29179 U=1.72956
E=0.70821 Y=4.34478 U=1.8022
E=0.655221 Y=4.39431 U=1.87455
E=0.60569 Y=4.43042 U=1.93616
E=0.569581 Y=4.46507 U=1.99714
E=0.534935 Y=4.49092 U=2.05107
E=0.509077 Y=4.51636 U=2.10462
E=0.483639 Y=4.53548 U=2.15311
E=0.46452 Y=4.55475 U=2.20145
E=0.445249 Y=4.56914 U=2.24593
E=0.430863 Y=4.58404 U=2.29048
E=0.415959 Y=4.59495 U=2.33193
E=0.405054 Y=4.60663 U=2.37363
E=0.393365 Y=4.61489 U=2.41273
E=0.385108 Y=4.62415 U=2.45227
E=0.375852 Y=4.63034 U=2.48956
E=0.369665 Y=4.63771 U=2.52744
E=0.362288 Y=4.64224 U=2.56332
E=0.357758 Y=4.64815 U=2.59995
E=0.351851 Y=4.65133 U=2.63472
E=0.348674 Y=4.65607 U=2.6704
E=0.343926 Y=4.65813 U=2.70433
E=0.341869 Y=4.66197 U=2.73932
E=0.338033 Y=4.66308 U=2.77259
E=0.336915 Y=4.66622 U=2.8071
E=0.333785 Y=4.66654 U=2.83987
E=0.33346 Y=4.66914 U=2.87406
E=0.33086 Y=4.66879 U=2.90646
E=0.331206 Y=4.67102 U=2.94047
E=0.328979 Y=4.67011 U=2.97259
E=0.329889 Y=4.67211 U=3.00652
E=0.327888 Y=4.67073 U=3.03844
E=0.329267 Y=4.67265 U=3.07238
E=0.327353 Y=4.67089 U=3.10413
E=0.329108 Y=4.67286 U=3.13814
E=0.327144 Y=4.67081 U=3.16974
E=0.329187 Y=4.67296 U=3.20386
E=0.32704 Y=4.67072 U=3.2353
E=0.329282 Y=4.67318 U=3.26955
E=0.326821 Y=4.67083 U=3.30082
